Control ID,Control Name,Control Description,Comment,Result,Remediation Guidance
c-am-6b7c8d9e-0f1a-4b7c-9d0e-1f2a3b4c5d6e,Secret Protection Best Practices,Ensure that secrets like credentials remain confidential.,"The result is INSUFFICIENT_DATA because while the document shows the VirusTotal API key is stored in AWS Secrets Manager (good practice) and explains IAM role usage, it does not describe rotation policies for the API key or procedures for handling compromised credentials. The document demonstrates proper storage mechanisms but lacks critical operational security details about secret lifecycle management.",INSUFFICIENT_DATA,"To clarify, document the rotation policy for the VirusTotal API key (frequency, process) and the procedure for revoking/rotating credentials if they are compromised or when team members leave."
c-am-3d4e5f6a-7b8c-4d4e-8f0a-1b2c3d4e5f6a,Secure by Default Best Practices,Ensure the system's default configuration is secure.,"The result is COMPLIANT because the system defaults to secure configurations across all components. All S3 buckets have public access blocked by default, encryption (SSE-S3) is enabled automatically, IAM follows least privilege with no default admin access, and secrets are stored securely in Secrets Manager rather than environment variables.",COMPLIANT,
c-am-1a2b3c4d-5e6f-4a2b-9c0d-1e2f3a4b5c6d,Privileged Access Best Practices,Ensure there are adequate guardrails for privileged functions.,"The result is COMPLIANT because the system explicitly prohibits administrative access patterns (no IAM users with access keys, no AdministratorAccess roles, no wildcard permissions), implements least-privilege IAM roles with specific resource-level permissions, and enables comprehensive logging via CloudWatch and S3 access logs for all operations.",COMPLIANT,
c-am-0e1f2a3b-4c5d-4e1f-9a0b-1c2d3e4f5a6b,Tenant Isolation Best Practices,Ensure appropriate separation between system tenants.,The result is NOT_APPLICABLE because this system does not describe a multi-tenant architecture. The document describes a single-purpose file scanning service where all users share the same infrastructure without any tenant boundaries or segregation mechanisms.,NOT_APPLICABLE,
c-am-a7b8c9d0-e1f2-4a5b-8c9d-0e1f2a3b4c5d,Audit Logging Best Practices,Ensure the system supports security monitoring.,"The result is INSUFFICIENT_DATA because the document mentions CloudWatch logs for Lambda executions and S3 access logs but doesn't specify what security-critical events are logged (e.g., who uploaded files, authentication attempts, permission changes) or what details each log entry captures. The system handles potentially malicious files and quarantine actions, which are consequential security events that require comprehensive audit logging.",INSUFFICIENT_DATA,"To clarify, document what specific events are logged (file uploads with user identity, scan results, quarantine actions, API key access), what information each log entry contains (timestamp, principal, action, resource, outcome), and how log completeness is ensured across all components."
c-am-8e9f0a1b-2c3d-4e5f-9a0b-1c2d3e4f5a6b,Information Protection Best Practices,Ensure sensitive data remains confidential and unaltered.,"The result is COMPLIANT because the system explicitly implements encryption at rest (SSE-S3) for all S3 buckets and encryption in transit (HTTPS) for all API calls, protecting the sensitive data (uploaded files and VirusTotal API keys). The document identifies sensitive data requiring protection (user files, API credentials) and describes appropriate encryption controls for both storage and transmission.",COMPLIANT,
c-am-f3e4d5c6-b7a8-4e5f-9c0d-1e2f3a4b5c6d,Authentication Best Practices,Ensure only legitimate users can access the system.,"The result is INSUFFICIENT_DATA because the document describes IAM role-based authorization between AWS services but does not specify how users initially authenticate to upload files to the virusscan-inbox bucket. The system clearly has multiple users uploading files, but the authentication mechanism for these users is not documented.",INSUFFICIENT_DATA,"To clarify, describe how users authenticate before uploading files (e.g., AWS Cognito, IAM users with temporary credentials, pre-signed URLs, or API Gateway with authentication)."
c-am-2b3c4d5e-6f7a-4b5c-8d9e-0f1a2b3c4d5e,Authorization Best Practices,Ensure systems follow authorization best practices.,"The result is INSUFFICIENT_DATA because the document describes service-to-service authorization (IAM roles) but does not describe how end users are authenticated or authorized to upload files to virusscan-inbox. The system mentions 'usuarios' (users) uploading files but provides no details about user identity, authentication mechanisms, or access controls that determine which users can upload what files.",INSUFFICIENT_DATA,"To clarify, describe how users authenticate to upload files (e.g., pre-signed URLs, Cognito, API Gateway with auth) and what authorization controls determine which users can upload files and whether different users have different access levels."
c-am-5c6d7e8f-9a0b-4c5d-8e9f-0a1b2c3d4e5f,Log Protection Best Practices,Protect the integrity and confidentiality of system logs.,"The result is INSUFFICIENT_DATA because the document mentions CloudWatch logs are enabled but doesn't describe log protection mechanisms, sensitive data redaction, retention policies, or access controls. The system processes files that could contain sensitive information and stores API keys, yet there's no discussion of what gets logged or how logs are protected.",INSUFFICIENT_DATA,"To clarify, document what information is logged (especially regarding file contents, metadata, and API interactions), whether sensitive data is redacted from logs, log retention duration, and which IAM roles can access CloudWatch logs."
c-am-3aa7e710-f8e8-4617-92f0-a3b3c3965fae,Trusted Cryptography Best Practices,Ensure only trustworthy cryptographic implementations are used.,"The result is COMPLIANT because the system uses AWS-managed cryptographic services (SSE-S3 for encryption at rest, HTTPS for encryption in transit) and AWS Secrets Manager for key management, avoiding custom cryptographic implementations. The document specifies SHA256 hashing for file identification, which is a strong modern algorithm. All cryptographic operations rely on established AWS services rather than custom code.",COMPLIANT,
