ID de Control,Nombre del Control,Descripción del Control,Comentario,Resultado,Guía de Remediación
c-am-6b7c8d9e-0f1a-4b7c-9d0e-1f2a3b4c5d6e,Mejores Prácticas de Protección de Secretos,Asegurar que los secretos como las credenciales permanezcan confidenciales.,"El resultado es DATOS INSUFICIENTES porque aunque el documento muestra que la clave API de VirusTotal está almacenada en AWS Secrets Manager (buena práctica) y explica el uso de roles IAM, no describe las políticas de rotación de la clave API ni los procedimientos para manejar credenciales comprometidas. El documento demuestra mecanismos de almacenamiento adecuados pero carece de detalles críticos de seguridad operacional sobre la gestión del ciclo de vida de los secretos.",DATOS INSUFICIENTES,"Para aclarar, documente la política de rotación de la clave API de VirusTotal (frecuencia, proceso) y el procedimiento para revocar/rotar credenciales si se ven comprometidas o cuando los miembros del equipo se van."
c-am-3d4e5f6a-7b8c-4d4e-8f0a-1b2c3d4e5f6a,Mejores Prácticas de Seguridad por Defecto,Asegurar que la configuración predeterminada del sistema sea segura.,"El resultado es CUMPLE porque el sistema tiene configuraciones seguras por defecto en todos los componentes. Todos los buckets de S3 tienen el acceso público bloqueado por defecto, el cifrado (SSE-S3) está habilitado automáticamente, IAM sigue el mínimo privilegio sin acceso de administrador por defecto, y los secretos se almacenan de forma segura en Secrets Manager en lugar de variables de entorno.",CUMPLE,
c-am-1a2b3c4d-5e6f-4a2b-9c0d-1e2f3a4b5c6d,Mejores Prácticas de Acceso Privilegiado,Asegurar que existan salvaguardas adecuadas para las funciones privilegiadas.,"El resultado es CUMPLE porque el sistema prohíbe explícitamente los patrones de acceso administrativo (sin usuarios IAM con claves de acceso, sin roles AdministratorAccess, sin permisos comodín), implementa roles IAM de mínimo privilegio con permisos a nivel de recurso específicos, y habilita registro completo mediante CloudWatch y registros de acceso de S3 para todas las operaciones.",CUMPLE,
c-am-0e1f2a3b-4c5d-4e1f-9a0b-1c2d3e4f5a6b,Mejores Prácticas de Aislamiento de Inquilinos,Asegurar la separación adecuada entre los inquilinos del sistema.,"El resultado es NO APLICA porque este sistema no describe una arquitectura multi-inquilino. El documento describe un servicio de escaneo de archivos de propósito único donde todos los usuarios comparten la misma infraestructura sin límites ni mecanismos de segregación por inquilino.",NO APLICA,
c-am-a7b8c9d0-e1f2-4a5b-8c9d-0e1f2a3b4c5d,Mejores Prácticas de Registro de Auditoría,Asegurar que el sistema soporte el monitoreo de seguridad.,"El resultado es DATOS INSUFICIENTES porque el documento menciona registros de CloudWatch para ejecuciones de Lambda y registros de acceso de S3, pero no especifica qué eventos críticos de seguridad se registran (por ejemplo, quién subió archivos, intentos de autenticación, cambios de permisos) ni qué detalles contiene cada entrada de registro. El sistema maneja archivos potencialmente maliciosos y acciones de cuarentena, que son eventos de seguridad de consecuencia que requieren registro de auditoría completo.",DATOS INSUFICIENTES,"Para aclarar, documente qué eventos específicos se registran (cargas de archivos con identidad del usuario, resultados de escaneo, acciones de cuarentena, acceso a claves API), qué información contiene cada entrada de registro (marca de tiempo, principal, acción, recurso, resultado) y cómo se garantiza la completitud del registro en todos los componentes."
c-am-8e9f0a1b-2c3d-4e5f-9a0b-1c2d3e4f5a6b,Mejores Prácticas de Protección de la Información,Asegurar que los datos sensibles permanezcan confidenciales e inalterados.,"El resultado es CUMPLE porque el sistema implementa explícitamente cifrado en reposo (SSE-S3) para todos los buckets de S3 y cifrado en tránsito (HTTPS) para todas las llamadas a la API, protegiendo los datos sensibles (archivos subidos y claves API de VirusTotal). El documento identifica los datos sensibles que requieren protección (archivos de usuarios, credenciales de API) y describe controles de cifrado adecuados tanto para almacenamiento como para transmisión.",CUMPLE,
c-am-f3e4d5c6-b7a8-4e5f-9c0d-1e2f3a4b5c6d,Mejores Prácticas de Autenticación,Asegurar que solo usuarios legítimos puedan acceder al sistema.,"El resultado es DATOS INSUFICIENTES porque el documento describe la autorización basada en roles IAM entre servicios de AWS, pero no especifica cómo los usuarios se autentican inicialmente para subir archivos al bucket virusscan-inbox. El sistema claramente tiene múltiples usuarios subiendo archivos, pero el mecanismo de autenticación para estos usuarios no está documentado.",DATOS INSUFICIENTES,"Para aclarar, describa cómo los usuarios se autentican antes de subir archivos (por ejemplo, AWS Cognito, usuarios IAM con credenciales temporales, URLs prefirmadas o API Gateway con autenticación)."
c-am-2b3c4d5e-6f7a-4b5c-8d9e-0f1a2b3c4d5e,Mejores Prácticas de Autorización,Asegurar que los sistemas sigan las mejores prácticas de autorización.,"El resultado es DATOS INSUFICIENTES porque el documento describe la autorización entre servicios (roles IAM) pero no describe cómo los usuarios finales se autentican o autorizan para subir archivos a virusscan-inbox. El sistema menciona 'usuarios' subiendo archivos pero no proporciona detalles sobre la identidad del usuario, los mecanismos de autenticación o los controles de acceso que determinan qué usuarios pueden subir qué archivos.",DATOS INSUFICIENTES,"Para aclarar, describa cómo los usuarios se autentican para subir archivos (por ejemplo, URLs prefirmadas, Cognito, API Gateway con autenticación) y qué controles de autorización determinan qué usuarios pueden subir archivos y si diferentes usuarios tienen distintos niveles de acceso."
c-am-5c6d7e8f-9a0b-4c5d-8e9f-0a1b2c3d4e5f,Mejores Prácticas de Protección de Registros,Proteger la integridad y confidencialidad de los registros del sistema.,"El resultado es DATOS INSUFICIENTES porque el documento menciona que los registros de CloudWatch están habilitados pero no describe los mecanismos de protección de registros, la redacción de datos sensibles, las políticas de retención ni los controles de acceso. El sistema procesa archivos que podrían contener información sensible y almacena claves API, sin embargo no hay discusión sobre qué se registra ni cómo se protegen los registros.",DATOS INSUFICIENTES,"Para aclarar, documente qué información se registra (especialmente respecto al contenido de archivos, metadatos e interacciones con la API), si los datos sensibles se redactan de los registros, la duración de retención de registros y qué roles IAM pueden acceder a los registros de CloudWatch."
c-am-3aa7e710-f8e8-4617-92f0-a3b3c3965fae,Mejores Prácticas de Criptografía Confiable,Asegurar que solo se usen implementaciones criptográficas confiables.,"El resultado es CUMPLE porque el sistema usa servicios criptográficos administrados por AWS (SSE-S3 para cifrado en reposo, HTTPS para cifrado en tránsito) y AWS Secrets Manager para la gestión de claves, evitando implementaciones criptográficas personalizadas. El documento especifica el uso de hash SHA256 para la identificación de archivos, que es un algoritmo moderno y robusto. Todas las operaciones criptográficas se apoyan en servicios AWS establecidos en lugar de código personalizado.",CUMPLE,
