Control ID,Control Name,Control Description,Comment,Result,Remediation Guidance
c-am-f3e4d5c6-b7a8-4e5f-9c0d-1e2f3a4b5c6d,Authentication Best Practices,Ensure only legitimate users can access the system.,"The result is NON_COMPLIANT because the system explicitly allows unauthenticated file uploads ('cualquiera puede subir archivos sin autenticarse') with only a vague future plan to add authentication. This creates an open attack surface where anyone can abuse the file upload service, consume resources, and potentially upload malicious content.",NON_COMPLIANT,"To achieve compliance, implement authentication before production deployment using AWS IAM, Cognito, or API keys with rate limiting. At minimum, require some form of caller identification to enable abuse tracking and access control."
c-am-a7b8c9d0-e1f2-4a5b-8c9d-0e1f2a3b4c5d,Audit Logging Best Practices,Ensure the system supports security monitoring.,"The result is NON_COMPLIANT because the document explicitly states that S3 access logs are not configured and there is no mention of logging for user uploads, Lambda executions, or security events. Users can perform consequential actions (uploading files that trigger automated scanning) and access sensitive infrastructure, yet the system lacks audit logging capabilities needed for security monitoring.",NON_COMPLIANT,"To achieve compliance, enable S3 access logging on both buckets, configure CloudWatch Logs for Lambda executions to capture upload events and scanning results, and implement CloudTrail to log API calls. Ensure logs capture user identity (or IP when unauthenticated), timestamps, file metadata, and scan outcomes."
c-am-8e9f0a1b-2c3d-4e5f-9a0b-1c2d3e4f5a6b,Information Protection Best Practices,Ensure sensitive data remains confidential and unaltered.,"The result is NON_COMPLIANT because the system stores sensitive data (VirusTotal API keys, AWS credentials) in plaintext environment variables, uses public S3 buckets without encryption for file storage, and transmits data without encryption. The document explicitly states 'No hay cifrado porque los archivos son temporales' and exposes credentials directly in configuration.",NON_COMPLIANT,"To achieve compliance, you can store secrets in AWS Secrets Manager or Parameter Store with encryption, enable S3 bucket encryption at rest, remove public access from buckets, and implement proper authentication. Remove hardcoded credentials from environment variables immediately."
c-am-2b3c4d5e-6f7a-4b5c-8d9e-0f1a2b3c4d5e,Authorization Best Practices,Ensure systems follow authorization best practices.,"The result is NON_COMPLIANT because the system explicitly lacks meaningful access controls, allowing anyone to upload files without authentication and using overly permissive configurations. The Lambda has full administrator permissions instead of least privilege, and S3 buckets are configured as public without user differentiation.",NON_COMPLIANT,"To achieve compliance, implement user authentication before file uploads, apply least-privilege IAM roles to the Lambda (removing admin permissions), and restrict S3 bucket access to authenticated users only."
c-am-3d4e5f6a-7b8c-4d4e-8f0a-1b2c3d4e5f6a,Secure by Default Best Practices,Ensure the system's default configuration is secure.,"The result is NON_COMPLIANT because the system explicitly defaults to insecure configurations across multiple components. The S3 inbox bucket is public by default, encryption is disabled, the Lambda role has administrator permissions, and there's no authentication required for file uploads.",NON_COMPLIANT,"To achieve compliance, make the S3 bucket private by default and require authenticated access, enable encryption at rest, apply least-privilege IAM permissions to the Lambda role, and implement user authentication before allowing file uploads."
c-am-6b7c8d9e-0f1a-4b7c-9d0e-1f2a3b4c5d6e,Secret Protection Best Practices,Ensure that secrets like credentials remain confidential.,"The result is NON_COMPLIANT because secrets (VirusTotal API key and AWS credentials) are hardcoded in Lambda environment variables and exposed in documentation, the Lambda uses unnecessary AWS credentials instead of IAM roles, and there's no rotation policy beyond a manual reminder.",NON_COMPLIANT,"To achieve compliance, use IAM roles for AWS access instead of hardcoded credentials, store the VirusTotal API key in AWS Secrets Manager with automatic rotation, and remove all secrets from documentation and environment variables."
c-am-5c6d7e8f-9a0b-4c5d-8e9f-0a1b2c3d4e5f,Log Protection Best Practices,Protect the integrity and confidentiality of system logs.,"The result is NON_COMPLIANT because the document explicitly states that S3 access logs are not configured, and sensitive credentials (API keys, AWS keys) are stored in environment variables without any mention of log redaction mechanisms. The system handles sensitive information but has no log protection strategy.",NON_COMPLIANT,"To achieve compliance, enable S3 access logging with appropriate retention policies, implement log redaction for sensitive data like API keys and credentials, and ensure logs are stored in a secure location with restricted access controls."
c-am-1a2b3c4d-5e6f-4a2b-9c0d-1e2f3a4b5c6d,Privileged Access Best Practices,Ensure there are adequate guardrails for privileged functions.,"The result is NON_COMPLIANT because the Lambda function has administrator permissions ('permisos de administrador') which violates least-privilege principles, and there is no audit logging configured for administrative actions (S3 access logs are explicitly not configured).",NON_COMPLIANT,"To achieve compliance, restrict the Lambda role to only the specific S3 and SNS permissions needed, enable CloudTrail and S3 access logging for all administrative actions, and remove the TODO item by implementing least-privilege access before production."
c-am-3aa7e710-f8e8-4617-92f0-a3b3c3965fae,Trusted Cryptography Best Practices,Ensure only trustworthy cryptographic implementations are used.,"The result is NON_COMPLIANT because the system stores sensitive cryptographic keys (VIRUSTOTAL_API_KEY, AWS credentials) in plaintext environment variables, which violates proper key management practices. Additionally, S3 buckets have encryption explicitly disabled ('No hay cifrado porque los archivos son temporales'), failing to use encryption for data at rest.",NON_COMPLIANT,"To achieve compliance, use AWS Secrets Manager or Parameter Store for API keys and credentials, enable S3 bucket encryption (SSE-S3 or SSE-KMS), and remove hardcoded credentials from environment variables."
c-am-0e1f2a3b-4c5d-4e1f-9a0b-1c2d3e4f5a6b,Tenant Isolation Best Practices,Ensure appropriate separation between system tenants.,"The result is NOT_APPLICABLE because this is a single-purpose file upload service where all users share the same bucket and infrastructure without any tenant segregation model. The document describes a system where 'anyone can upload files without authentication,' indicating a shared-access model rather than a multi-tenant architecture with distinct tenant boundaries.",NOT_APPLICABLE,
