ID de Control,Nombre del Control,Descripción del Control,Comentario,Resultado,Guía de Remediación
c-am-8e9f0a1b-2c3d-4e5f-9a0b-1c2d3e4f5a6b,Mejores Prácticas de Protección de la Información,Asegurar que los datos sensibles permanezcan confidenciales e inalterados.,"El resultado es CUMPLE porque el sistema cifra todos los datos sensibles en reposo usando SSE-S3 para los buckets de S3 y AWS Secrets Manager para las claves API, almacena los secretos de forma segura sin codificarlos, e implementa controles de acceso para prevenir modificaciones no autorizadas. El documento identifica claramente los datos sensibles (archivos subidos, claves API) y especifica cifrado para el almacenamiento con acceso privado al bucket que previene la manipulación.",CUMPLE,
c-am-3d4e5f6a-7b8c-4d4e-8f0a-1b2c3d4e5f6a,Mejores Prácticas de Seguridad por Defecto,Asegurar que la configuración predeterminada del sistema sea segura.,"El resultado es CUMPLE porque el sistema configura explícitamente todos los recursos con valores predeterminados seguros: los buckets de S3 son privados con cifrado SSE-S3 y registro de acceso habilitado desde el primer despliegue, las funciones Lambda usan roles IAM de mínimo privilegio desde el inicio, se requiere autenticación antes de cualquier operación, y los secretos se almacenan en Secrets Manager en lugar de variables de entorno. El documento indica claramente que estas características de seguridad están habilitadas 'por defecto' y 'desde el primer deploy', demostrando que la seguridad es el estado predeterminado y no una configuración opcional.",CUMPLE,
c-am-1a2b3c4d-5e6f-4a2b-9c0d-1e2f3a4b5c6d,Mejores Prácticas de Acceso Privilegiado,Asegurar que existan salvaguardas adecuadas para las funciones privilegiadas.,"El resultado es CUMPLE porque el sistema aborda explícitamente el acceso privilegiado mediante roles IAM de mínimo privilegio, elimina el acceso administrativo (AdministratorAccess) e implementa registro de auditoría completo mediante CloudTrail y CloudWatch con retención de 90 días. El rol de la función Lambda está limitado a recursos específicos con solo los permisos necesarios, y todas las acciones administrativas quedan registradas.",CUMPLE,
c-am-0e1f2a3b-4c5d-4e1f-9a0b-1c2d3e4f5a6b,Mejores Prácticas de Aislamiento de Inquilinos,Asegurar la separación adecuada entre los inquilinos del sistema.,"El resultado es NO APLICA porque este sistema autentica usuarios individuales mediante Cognito pero no describe una arquitectura multi-inquilino donde diferentes organizaciones o grupos de clientes comparten infraestructura. El documento describe aislamiento a nivel de usuario (usuarios autenticados subiendo sus propios archivos) en lugar de aislamiento a nivel de inquilino entre organizaciones de clientes separadas.",NO APLICA,
c-am-5c6d7e8f-9a0b-4c5d-8e9f-0a1b2c3d4e5f,Mejores Prácticas de Protección de Registros,Proteger la integridad y confidencialidad de los registros del sistema.,"El resultado es CUMPLE porque el sistema implementa protección completa de registros incluyendo CloudWatch Logs con retención de 90 días, controles de acceso restringidos y redacción automática de claves API y credenciales. El documento aborda explícitamente todos los aspectos clave: almacenamiento seguro (CloudWatch), política de retención (90 días), restricciones de acceso y redacción de datos sensibles.",CUMPLE,
c-am-6b7c8d9e-0f1a-4b7c-9d0e-1f2a3b4c5d6e,Mejores Prácticas de Protección de Secretos,Asegurar que los secretos como las credenciales permanezcan confidenciales.,"El resultado es CUMPLE porque el sistema almacena la clave API de VirusTotal en AWS Secrets Manager con rotación automática habilitada, evita codificar credenciales en el código o variables de entorno, y usa roles IAM para la autenticación de servicios AWS. El documento aborda explícitamente todos los aspectos clave: almacenamiento de secretos (Secrets Manager), política de rotación (automática) y minimización de secretos usando roles IAM en lugar de crear credenciales adicionales.",CUMPLE,
c-am-f3e4d5c6-b7a8-4e5f-9c0d-1e2f3a4b5c6d,Mejores Prácticas de Autenticación,Asegurar que solo usuarios legítimos puedan acceder al sistema.,"El resultado es CUMPLE porque el sistema implementa Amazon Cognito User Pool para la autenticación de usuarios con tokens JWT requeridos para todas las cargas de archivos. El documento describe claramente que las cargas requieren tokens JWT válidos de usuarios autenticados, y el mecanismo de autenticación es adecuado para un servicio de carga de archivos con múltiples usuarios.",CUMPLE,
c-am-2b3c4d5e-6f7a-4b5c-8d9e-0f1a2b3c4d5e,Mejores Prácticas de Autorización,Asegurar que los sistemas sigan las mejores prácticas de autorización.,"El resultado es DATOS INSUFICIENTES porque el documento describe la autenticación (JWT de Cognito) y los permisos IAM para las funciones Lambda, pero no especifica qué pueden hacer los diferentes usuarios autenticados ni si todos los usuarios autenticados tienen acceso idéntico. El sistema distingue entre usuarios autenticados y no autenticados, pero no queda claro si existen diferentes roles de usuario, si todos los usuarios autenticados pueden subir cualquier archivo, o si hay restricciones basadas en la identidad o atributos del usuario.",DATOS INSUFICIENTES,"Para aclarar, documente si todos los usuarios autenticados tienen los mismos permisos o si existen diferentes roles de usuario (por ejemplo, administrador vs usuario regular), y especifique cualquier control de acceso por usuario como cuotas de carga, restricciones de propiedad de archivos o capacidad de acceder solo a sus propios archivos subidos."
c-am-3aa7e710-f8e8-4617-92f0-a3b3c3965fae,Mejores Prácticas de Criptografía Confiable,Asegurar que solo se usen implementaciones criptográficas confiables.,"El resultado es CUMPLE porque el sistema usa servicios criptográficos administrados por AWS (SSE-S3 para cifrado y Secrets Manager para la gestión de claves) en lugar de implementaciones personalizadas. Estos son servicios criptográficos establecidos y confiables que emplean algoritmos modernos robustos con gestión adecuada de claves.",CUMPLE,
c-am-a7b8c9d0-e1f2-4a5b-8c9d-0e1f2a3b4c5d,Mejores Prácticas de Registro de Auditoría,Asegurar que el sistema soporte el monitoreo de seguridad.,"El resultado es DATOS INSUFICIENTES porque aunque el documento menciona CloudTrail para llamadas a la API y CloudWatch Logs para ejecuciones de Lambda con retención de 90 días, no especifica qué eventos críticos de seguridad se registran realmente (por ejemplo, intentos de autenticación, fallos de autorización, patrones de acceso a archivos). El documento menciona que los registros tienen 'redacción automática' pero no describe qué información se captura para cada tipo de evento ni cómo se garantiza la completitud del registro.",DATOS INSUFICIENTES,"Para aclarar, especifique qué eventos de seguridad se registran (éxitos/fallos de autenticación, denegaciones de autorización, acceso a objetos de S3, invocaciones de Lambda con contexto del usuario), qué campos contiene cada entrada de registro (marca de tiempo, identidad del usuario, acción, recurso, resultado) y cómo garantiza que no existan brechas en el registro."
